Transaction_Date,Stock_ Date,Invoice_ID,Age_Group_Key,Customer_Gender_Key,Region_Key,Product_Key,Quantity_Sold,Month
01-Jun-19,27-Apr-18,INV-184139,1,2,9,298,2,6
09-Jun-19,03-Jun-18,INV-184538,1,1,9,283,2,6
14-Jun-19,06-Mar-18,INV-184616,1,1,9,247,2,6
10-Jun-19,01-Mar-18,INV-184984,1,2,9,255,2,6
17-Jun-19,23-Jan-18,INV-184989,1,1,9,254,2,6
26-Jun-19,15-Jun-18,INV-185407,1,2,9,264,2,6
12-Jun-19,20-Mar-18,INV-185414,1,2,9,234,2,6
03-Jun-19,16-Dec-18,INV-185772,1,2,9,227,2,6
13-Jun-19,08-Jun-18,INV-185881,1,1,9,254,2,6
04-Jun-19,21-May-18,INV-186745,1,2,9,245,2,6
08-Jun-19,07-Apr-18,INV-187174,1,2,9,308,2,6
02-Jun-19,22-Feb-18,INV-187234,1,1,9,201,2,6
12-Jun-19,24-Jan-18,INV-187620,1,1,9,329,2,6
26-Jun-19,09-Jun-18,INV-187856,1,2,9,211,2,6
09-Jun-19,02-Apr-18,INV-188196,1,1,9,268,2,6
14-Jun-19,06-Apr-18,INV-188436,1,2,9,213,2,6
13-Jun-19,01-Feb-18,INV-188491,1,2,9,275,2,6
05-Jun-19,07-May-18,INV-188893,1,2,9,264,2,6
17-Jun-19,13-Feb-18,INV-189348,1,2,9,254,2,6
05-Jun-19,29-Mar-18,INV-189378,1,2,9,248,2,6
11-Jun-19,15-Apr-18,INV-189423,1,2,9,226,2,6
12-Jun-19,26-Feb-18,INV-189562,1,1,9,297,2,6
17-Jun-19,28-Apr-18,INV-189609,1,1,9,244,2,6
30-Jun-19,30-May-18,INV-189831,1,1,9,266,2,6
03-Jun-19,01-Mar-18,INV-190336,1,1,9,325,2,6
08-Jun-19,16-Dec-18,INV-190341,1,1,9,252,2,6
19-Jun-19,07-May-18,INV-190383,1,2,9,300,2,6
03-Jun-19,17-Dec-18,INV-190789,1,1,9,228,2,6
24-Jun-19,10-Jun-18,INV-190874,1,2,9,248,2,6
13-Jun-19,10-Mar-18,INV-191159,1,2,9,283,2,6
25-Jun-19,25-Feb-18,INV-191363,1,1,9,231,2,6
24-Jun-19,27-Mar-18,INV-191913,1,1,9,201,2,6
14-Jun-19,21-Dec-18,INV-192336,1,2,9,262,2,6
30-Jun-19,25-Apr-18,INV-192675,1,1,9,306,2,6
21-Jun-19,18-Apr-18,INV-192803,1,1,9,299,2,6
14-Jun-19,01-Mar-18,INV-192928,1,1,9,236,2,6
12-Jun-19,05-Mar-18,INV-193004,1,1,9,329,2,6
